label,StreetNa_1,county,labelDirec,Angle
Eighth Avenue,8th Ave,New York County,,36.13537661
Seventh Avenue,7th Ave,New York County,,36.57303098
Second Avenue,2nd Ave,New York County,,39.80557109
Third Avenue,3rd Ave,New York County,,36.29262973
University Place,University Pl,New York County,,41.2570117
14th Street,W 14th St,New York County,,-67.02168265
Elizabeth Street,Elizabeth St,New York County,,21.97450799
Madison Avenue,Madison Ave,New York County,,36.41637852
Ninth Avenue,9th Ave,New York County,,36.57303098
10th Street,W 10th St,New York County,,81.40408856
44th Street,W 44th St,New York County,,-67.35518045
46th Street,W 46th St,New York County,,-66.86053824
49th Street,W 49th St,New York County,,-67.30620505
51st Street,W 51st St,New York County,,-67.35319769
48th Street,W 48th St,New York County,,-66.64443514
Lexington Avenue,Lexington Ave,New York County,,36.13537661
Tenth Avenue,10th Ave,New York County,,36.08507304
Broadway,Broadway,New York County,,40.70261334
First Avenue,1st Ave,New York County,,35.21759296
Hudson Street,Hudson St,New York County,,12.69958449
34th Street,E 34th St,New York County,,-66.25050551
57th Street,W 57th St,New York County,,-67.28166462
Vanderbilt Avenue,Vanderbilt Ave,New York County,,36.72410717
Christopher Street,Christopher St,New York County,,80.83765295
45th Street,W 45th St,New York County,,-67.02168265
47th Street,W 47th St,New York County,,-67.13957627
50th Street,W 50th St,New York County,,-66.29735405
72nd Street,W 72nd St,New York County,,-67.35087266
Washington Street,Washington St,New York County,,11.76828893
56th Street,W 56th St,New York County,,-66.69789419
Thompson Street,Thompson St,New York County,,39.94977157
Fifth Avenue,5th Ave,New York County,,35.88213725
Fourth Avenue,4th Ave,Kings County,L,23.47099312
86th Street,86th St,Kings County,L,-76.8142387
5th Avenue,5th Ave,Kings County,R,40.33314163
,,11215,,0.002598557
,,NY,5th Avenue,5th Ave
34th Street,W 34th St,New York County,,-67.06789956
SixthAvenue,6th Ave,New York County,L,36.57303098
Avenue A,Avenue A,New York County,R,35.75388725
Bowery,Bowery,New York County,R,31.75948009
Houston Street,E Houston St,New York County,L,-73.36119433
Eldridge Street,Eldridge St,New York County,L,26.95217893
Allen Street,Allen St,New York County,,21.60552724
West Broadway,W Broadway,New York County,L,37.92646233
Eighth Street,E 8th St,New York County,R,-67.38013505
14th Street,E 14th St,New York County,,-67.73941778
17th Street,E 17th St,New York County,R,-66.91068293
12th Street,E 12th St,New York County,R,-67.27026792
Astor Place,Astor Pl,New York County,L,-80.53767779
Cooper Square,Cooper Sq,New York County,R,36.86989765
St Marks Place,St Marks Pl,New York County,R,-67.19545953
Fourth Avenue,4th Ave,New York County,R,14.42077313
Irving Place,Irving Pl,New York County,R,35.69005982
4th Street,W 4th St,New York County,L,-63.43494882
Lafayette Street,Lafayette St,New York County,R,40.64892205
Park Avenue,Park Ave S,New York County,R,37.20792192
19th Street,E 19th St,New York County,R,-66.93538223
,E 1st St,New York County,,-67.69379495
Broad Street,Broad St,New York County,L,30.17352003
Wall Street,Wall St,New York County,L,-57.26477373
Maiden Lane,Maiden Ln,New York County,R,-51.80905018
Nassau Street,Nassau St,New York County,,48.12213047
Pine Street,Pine St,New York County,L,-59.95356475
Church Street,Church St,New York County,,40.23635831
Chambers Street,Chambers St,New York County,R,-64.37413977
Greenwich Street,Greenwich St,New York County,,12.6525565
Avenue B,Avenue B,New York County,R,36.43085812
Avenue C,Avenue C,New York County,L,36.59108827
23rd Street,E 23rd St,New York County,R,-66.80140949
23rd Street,W 23rd St,New York County,R,-67.20723243
21st Street,E 21st St,New York County,L,-66.94869908
86th Street,E 86th St,New York County,R,-66.97450799
96th Street,E 96th St,New York County,R,-67.11487871
York Avenue,York Ave,New York County,R,36.13537661
Park Avenue,Park Ave,New York County,,38.15722659
Greene Street,Greene St,New York County,R,40.17314122
Mercer Street,Mercer St,New York County,L,40.40574667
Prince Street,Prince St,New York County,R,-66.89367314
Varick Street,Varick St,New York County,R,10.78429787
42nd Street,E 42nd St,New York County,L,-66.80140948
42nd Street,W 42nd St,New York County,,-67.25843647
57th Street,E 57th St,New York County,L,-67.45282233
51st Street,E 51st St,New York County,L,-67.59016263
Amsterdam Avenue,Amsterdam Ave,New York County,L,36.09828397
Columbus Avenue,Columbus Ave,New York County,R,35.77607772
125th Street,W 125th St,New York County,R,-67.31944039
Mulberry Street,Mulberry St,New York County,R,21.52260011
Broome Street,Broome St,New York County,L,-61.69924424
Sullivan Street,Sullivan St,New York County,L,41.6636633
21st Street,W 21st St,New York County,R,-67.10273688
Seventh Avenue,7th Ave S,New York County,R,30.35811546
Wooster Street,Wooster St,New York County,R,40.40574667
Eighth Street,W 8th St,New York County,R,-65.86514157
Crosby Street,Crosby St,New York County,R,41.03534528
Canal Street,Canal St,New York County,R,-53.97262662
86th Street,W 86th St,New York County,L,-67.41268947
85th Street,W 85th St,New York County,R,-67.31347332
79th Street,W 79th St,New York County,R,-67.02945119
16th Street,E 16th St,New York County,R,-67.12633481
15th Street,E 15th St,New York County,R,-66.87347961
17th Street,W 17th St,New York County,R,-67.10273688
16th Street,W 16th St,New York County,R,-67.10273688
15th Street,W 15th St,New York County,R,-67.10273688
Thirteenth Street,W 13th St,New York County,L,-67.26058222
Orchard Street,Orchard St,New York County,L,27.15979569
Ludlow Street,Ludlow St,New York County,L,27.1304517
11th Street,W 11th St,New York County,L,81.20258929
Perry Street,Perry St,New York County,R,81.78079075
Bank Street,Bank St,New York County,R,83.3106846
West Street,West St,New York County,R,4.714754517
Charles Street,Charles St,New York County,L,81.86989765
Essex Street,Essex St,New York County,L,27.61302782
Grand Street,Grand St,New York County,,-63.74975763
Franklin Street,Franklin St,New York County,,-65.69545073
60th Street,E 60th St,New York County,L,-67.4964715
West End Avenue,West End Ave,New York County,R,35.45547444
10th Street,E 10th St,New York County,R,-66.9564022
Worth Street,Worth St,New York County,,-65.01876039
Duane Street,Duane St,New York County,L,-53.42696902
Reade Street,Reade St,New York County,R,-65.19980662
Centre Street,Centre St,New York County,R,36.86989764
12th Street,Little West 12th St,New York County,L,-66.45996073
48th Street,E 48th St,New York County,R,-67.32865638
Warren Street,Warren St,New York County,R,-65.40422846
116th Street,E 116th St,New York County,L,-67.01785231
106th Street,E 106th St,New York County,L,-67.06789956
106th Strett,E 106th St,New York County,L,-67.03622694
29th Street,W 29th St,New York County,R,-66.83256543
125th Street,E 125th St,New York County,L,-67.83365418
73rd Street,E 73rd St,New York County,L,-67.10273688
Watts Street,Watts St,New York County,R,-80.15886824
Sixth Avenue,6th Ave,New York County,R,-1.397181024
Vestry Street,Vestry St,New York County,L,-84.59620864
Desbrosses Street,Desbrosses St,New York County,R,-83.78817797
Laight Street,Laight St,New York County,L,-84.21760768
Spring Street,Spring St,New York County,L,-67.543061
Bleeker Street,Bleecker St,New York County,r,-75.37912601
55th Street,E 55th St,New York County,R,-67.67134362
59th Street,E 59th St,New York County,L,-66.13982481
Great Jones Street,Great Jones St,New York County,L,-64.65382406
Forsyth Street,Forsyth St,New York County,R,26.8109543
Delancey Street,Delancey St,New York County,L,-73.10135131
55th Street,W 55th St,New York County,L,-67.71441235
13th Street,E 13th St,New York County,L,-67.13866002
Kenmare Street,Kenmare St,New York County,L,-71.56505118
Cleveland Place,Cleveland Pl,New York County,R,18.43494882
Leonard Street,Leonard St,New York County,L,-64.86056761
Mott Street,Mott St,New York County,R,22.9128284
Pearl Street,Pearl St,New York County,R,77.09259133
,Prince St,New York County,,-64.093492
22nd Street,W 22nd St,New York County,L,-67.10273688
Water Street,Water St,New York County,L,55.92280472
Fulton Street,Fulton St,New York County,R,-63.26288994
33rd Street,E 33rd St,New York County,R,-67.40540888
33rd Street,W 33rd St,New York County,R,-67.28558765
43rd Street,W 43rd St,New York County,L,-67.29507606
52nd Street,W 52nd St,New York County,L,-65.71417484
53rd Street,W 53rd St,New York County,L,-67.26206914
54th Street,W 54th St,New York County,R,-67.470602
,Grand St,New York County,,-64.47030201
,W 40th St,New York County,,-67.81598665
Eleventh Avenue,11th Ave,New York County,R,35.53767779
20th Street,E 20th St,New York County,R,-67.27589785
South End Avenue,S End Ave,New York County,R,34.64094751
River Terrace,River Ter,New York County,R,15.42216132
North End Avenue,N End Ave,New York County,R,38.51692631
Murray Street,Murray St,New York County,R,-83.49437336
Vesey Street,Vesey St,New York County,L,-66.4252938
King Street,King St,New York County,R,-85.23635831
181st Street,W 181st St,New York County,L,-73.5778125
Walker Street,Walker St,New York County,L,-65.44010896
White Street,White St,New York County,L,-63.43494882
83rd Street,E 83rd St,New York County,L,-66.97450799
64th Street,E 64th St,New York County,R,-67.21759427
65th Street,E 65th St,New York County,L,-66.54097592
66th Street,E 66th St,New York County,L,-67.27026792
67th Street,E 67th St,New York County,L,-67.27850185
68th Street,E 68th St,New York County,R,-66.97450799
24th Street,W 24th St,New York County,R,-66.83466298
41st Street,E 41st St,New York County,L,-66.97450799
43rd Street,E 43rd St,New York County,R,-67.05106272
61st Street,E 61st St,New York County,L,-67.08044517
62nd Street,E 62nd St,New York County,R,-67.40540888
63rd Street,E 63rd St,New York County,L,-67.10273688
79th Street,E 79th St,New York County,L,-67.27850185
80th Street,E 80th St,New York County,L,-66.97450799
81st Street,E 81st St,New York County,L,-67.32442697
82nd Street,E 82nd St,New York County,R,-67.10273688
84th Street,E 84th St,New York County,L,-67.04194451
22nd Street,E 22nd St,New York County,R,-67.26766451
25th Street,W 25th St,New York County,R,-67.231816
26th Street,E 26th St,New York County,R,-67.27850185
26th Street,W 26th St,New York County,R,-67.34652064
225th Street,W 225th St,New York County,L,-65.11672517
27th Street,W 27th St,New York County,R,-66.61477894
28th Street,W 28th St,New York County,L,-66.75272999
Beaver Street,Beaver St,New York County,L,-86.68221883
,Beaver St,New York County,,-88.40885973
Stone Street,Stone St,New York County,L,57.99461679
William Street,William St,New York County,R,44.19307054
,Platt St,New York County,,-58.82865097
,William St,New York County,,45
,Water St,New York County,,76.3423575
20th Street,W 20th St,New York County,R,-67.10273688
Frederick Douglass Boulevard,Frederick Douglass Blvd,New York County,L,37.07307332
West 122 Street,W 122nd St,New York County,L,-67.1902889
West 121 Street,W 121st St,New York County,R,-67.18401335
West 115 Street,W 115th St,New York County,R,-67.06089947
West 114th Street,W 114th St,New York County,L,-67.32442697
Frederick Douglass BoulevardFrederick Do,Frederick Douglass Blvd,New York County,L,36.13537661
West 113 Street,W 113th St,New York County,L,-67.18401335
West 111 Street,W 111th St,New York County,L,-67.18401335
116th Street,W 116th St,New York County,L,-67.08559072
116 Street,W 116th St,New York County,R,-67.08559072
38th Street,W 38th St,New York County,R,-66.89819281
40th Street,W 40th St,New York County,L,-67.10944835
41st Street,W 41st St,New York County,L,-66.71393508
,Crosby St,New York County,,40.29794458
27th Street,E 27th St,New York County,R,-67.38013505
110th Street,E 110th St,New York County,R,-68.00259659
Rivington Street,Rivington St,New York County,L,-72.84757826
Park Place,Park Pl,New York County,L,-65.04231675
,E 47th St,New York County,,-67.38013505
39th Street,W 39th St,New York County,L,-67.5205656
36th Street,W 36th St,New York County,L,-67.21083011
41 Street,W 41st St,New York County,R,-67.00069835
47th Street,E 47th St,New York County,L,-66.43116728
31st Street,W 31st St,New York County,L,-67.24236368
,,10027,,0.000916079
32nd Street,W 32nd St,New York County,R,-67.06089947
,,10018,,0.002173131
37th Street,W 37th St,New York County,R,-67.21083011
Greenwich Avenue,Greenwich Ave,New York County,R,-31.09731289
Mac Dougal Street,MacDougal St,New York County,R,39.7376046
Bond Street,Bond St,New York County,L,-63.83843356
,Greene St,New York County,,39.84991766
,Mercer St,New York County,,40.40574667
Howard Street,Howard St,New York County,R,-60.88385373
,,10013,,0.000845281
North Moore Street,N Moore St,New York County,L,-84.09385889
Manhattan Avenue,Manhattan Ave,New York County,L,38.77417094
St Nicholas Avenue,St Nicholas Ave,New York County,L,36.86989765
St. Nicholas Avenue,St Nicholas Ave,New York County,L,36.86989765
Dyckman Street,Dyckman St,New York County,L,-33.02386756
207th Street,W 207th St,New York County,R,-32.4711923
Lenox Avenue,Lenox Ave,New York County,L,35.72739822
19th Street,W 19th St,New York County,R,-67.5205656
53rd Street,E 53rd St,New York County,R,-67.0112832
Stanton Street,Stanton St,New York County,L,-73.89485792
,,10014,,0.000565685
Gansevoort Street,Gansevoort St,New York County,,0
,,,,
,,10017,,0.00077201
Rockefeller Plaza,Rockefeller Plz,New York County,R,36.86989764
Clinton Street,Clinton St,New York County,L,26.95217893
,Ludlow St,New York County,,26.89623697
L,Ludlow St,New York County,,26.89623697
Jay Street,Jay St,New York County,L,-82.25965884
Harrison Street,Harrison St,New York County,L,-84.70991879
Leroy Street,Leroy St,New York County,L,-84.72610404
Barrow Street,Barrow St,New York County,L,-84.24173984
Clarkson Street,Clarkson St,New York County,R,-83.75162833
Morton Street,Morton St,New York County,L,-84.8479183
Morris Street,Morris St,New York County,L,-72.60667785
Battery Place,Battery Pl,New York County,R,36.72410717
Beach Street,Beach St,New York County,R,-84.80557109
Moore Street,N Moore St,New York County,L,-83.74096369
58th Street,E 58th St,New York County,L,-66.73885953
96th Street,W 96th St,New York County,L,-67.5205656
45th Street,E 45th St,New York County,R,-67.65935204
44th Street,E 44th St,New York County,L,-67.05106272
4th Street,E 4th St,New York County,L,-63.86358756
Barclay Street,Barclay St,New York County,R,-63.86899945
18th Street,W 18th St,New York County,L,-67.09423034
Downing Street,Downing St,New York County,L,72.82409639
Commerce Street,Commerce St,New York County,L,-83.24642596
Grove Street,Grove St,New York County,L,72.50424212
Carmine Street,Carmine St,New York County,L,70.87477398
Bedford Street,Bedford St,New York County,R,-30.06858283
Houston Street,W Houston St,New York County,R,-84.18902014
Jones Street,Jones St,New York County,L,70.61548432
Cornella Street,Cornelia St,New York County,R,70.12092565
113th Street,W 113th St,New York County,L,-66.97895228
178th Street,W 178th St,New York County,L,-67.08309738
49th Street,E 49th St,New York County,L,-67.28558765
78th Street,E 78th St,New York County,,-67.27026792
18th Street,E 18th St,New York County,R,-66.93538223
50th Street,E 50th St,New York County,L,-66.97450799
51th Street,E 51st St,New York County,R,-67.59016263
52nd Street,E 52nd St,New York County,L,-66.72709593
3rd Street,W 3rd St,New York County,L,-64.04123074
Wabash Avenue,N Wabash Ave,Cook County,L,0
Wabash Avenue,S Wabash Ave,Cook County,L,1.145762835
Dearborn Street,S Dearborn St,Cook County,R,-1.432096183
Armitage Avenue,W Armitage Ave,Cook County,R,88.29018596
Clark Street,N Clark St,Cook County,,-2.161079489
Madison Street,W Madison St,Cook County,L,89.04515875
Clark Street,S Clark St,Cook County,L,-2.045408496
Monroe Street,W Monroe St,Cook County,L,89.26074064
Adams Street,W Adams St,Cook County,L,0
Van Buren Street,W Van Buren St,Cook County,L,0
Washington Street,W Washington St,Cook County,L,0
Clybourn Avenue,N Clybourn Ave,Cook County,R,-55.0079798
Halsted Street,N Halsted St,Cook County,L,-1.618094532
Lake Street,W Lake St,Cook County,L,89.59075139
LaSalle Street,N LaSalle St,Cook County,L,0
LaSalle Street,S LaSalle St,Cook County,L,-0.881403994
Jackson Boulevard,W Jackson Blvd,Cook County,L,88.95837332
Webster Avenue,W Webster Ave,Cook County,L,88.59137127
Wacker Drive,W Wacker Dr,Cook County,L,0
Wells Street,N Wells St,Cook County,L,0
Wells Street,S Wells St,Cook County,L,-0.895173708
Randolph Street,W Randolph St,Cook County,L,88.66778015
Franklin Street,N Franklin St,Cook County,L,-1.041626679
Franklin Street,S Franklin St,Cook County,L,-0.939190949
Lake Street,E Lake St,Cook County,L,0
Madison Street,E Madison St,Cook County,L,89.6180338
Randolph Street,E Randolph St,Cook County,L,89.15747574
Wacker Drive,W Lower Wacker Dr,Cook County,L,57.99461679
Wacker Drive,E Wacker Dr,Cook County,L,87.66269415
Wacker Drive,E Lower Wacker Dr,Cook County,L,88.4518423
Wacker Drive,N Wacker Dr,Cook County,L,2.935673447
Wacker Drive,N Lower Wacker Dr,Cook County,L,11.76828893
Wacker Drive,S Lower Wacker Dr,Cook County,L,-2.147585427
Washington Street,E Washington St,Cook County,R,89.39690881
Ohio Street,E Ohio St,Cook County,L,89.00075633
Damen Avenue,N Damen Ave,Cook County,L,-1.245364271
Monroe Street,E Monroe St,Cook County,L,88.2850698
Adams Street,E Adams St,Cook County,L,88.93908831
Jackson Boulevard,E Jackson Blvd,Cook County,L,88.95202335
Van Buren Street,E Van Buren St,Cook County,,87.99044619
Stetson Avenue,N Stetson Ave,Cook County,L,-0.881403994
Randolph Street,E Upper Randolph St,Cook County,R,88.84266693
Columbus Drive,N Lower Columbus Dr,Cook County,R,-1.363927528
Benton Place,E Benton Pl,Cook County,L,0
Randolph Street,E Lower Randolph St,Cook County,,-89.56263613
Water Street,E South Water St,Cook County,R,88.72696998
Chestnut Street,E Chestnut St,Cook County,L,89.31793961
Chicago Avenue,E Chicago Ave,Cook County,L,88.74095479
Delaware Place,E Delaware Pl,Cook County,L,88.53119928
Water Street,E Lower North Water St,Cook County,R,-87.85241457
Erie Street,E Erie St,Cook County,L,89.61287225
Columbus Drive,N Columbus Dr,Cook County,R,0
Fairbanks Court,N Fairbanks Ct,Cook County,,-2.147585427
Ontario Street,E Ontario St,Cook County,L,88.87669729
Huron Street,E Huron St,Cook County,L,88.83086067
Illinois Street,E Illinois St,Cook County,,88.84266693
Lake Shore Drive,N Lake Shore Dr,Cook County,L,-32.00538321
McClurg Court,N McClurg Ct,Cook County,L,-1.397181028
Ocean Drive,Ocean Dr,Miami-Dade County,R,-1.808739321
Lenox Avenue,Lenox Ave,Miami-Dade County,L,-0.987760403
Michigan Avenue,Michigan Ave,Miami-Dade County,R,-1.468800715
Pennsylvania Avenue,Pennsylvania Ave,Miami-Dade County,L,0
Drexel Avenue,Drexel Ave,Miami-Dade County,R,-1.548157704
Washington Avenue,Washington Ave,Miami-Dade County,L,-2.353296865
Grand Avenue,E Grand Ave,Cook County,R,88.70783311
,,60654,,0.00084006
State Street,S State St,Cook County,R,-1.789910609
Michigan Avenue,N Lower Michigan Ave,Cook County,,-3.433630367
Michigan Avenue,N Upper Michigan Ave,Cook County,,0
Michigan Avenue,N Michigan Ave,Cook County,L,-2.792702367
Jefferson Avenue,Jefferson Ave,Miami-Dade County,L,-1.859599338
Meridian Avenue,Meridian Ave,Miami-Dade County,L,0
North Lincoln Lane,Lincoln Ln N,Miami-Dade County,R,88.79395122
Lincoln Road,Lincoln Rd Mall,Miami-Dade County,R,0
Euclid Avenue,Euclid Ave,Miami-Dade County,L,-1.193489421
Walton Street,E Walton Pl,Cook County,R,88.62790835
Dayton Street,N Dayton St,Cook County,L,-6.009005959
Oak Street,E Oak St,Cook County,,88.60281897
Rush Street,N Rush St,Cook County,R,-30.96375653
