label,StreetNa_1,county,labelDirec,Angle
Sixth Street,SE 6th St,Miami-Dade County,L,-77.82854179
5th Street,SE 5th St,Miami-Dade County,R,-83.54118363
SW 7th Street,SW 7th St,Miami-Dade County,R,87.77603876
SW 8th Street,SW 8th St,Miami-Dade County,R,87.56335175
Brickell Plaza,Brickell Plz,Miami-Dade County,L,15.30613898
9th Street,SE 9th St,Miami-Dade County,R,87.22083314
SE 10th Street,SE 10th St,Miami-Dade County,R,0
1st Avenue,SW 1st Ave,Miami-Dade County,R,0
13th Street,SW 13th St,Miami-Dade County,R,87.79740184
9th Street,SW 9th St,Miami-Dade County,L,88.43064519
10th Street,SW 10th St,Miami-Dade County,R,88.02506599
11th Street,SW 11th St,Miami-Dade County,L,88.281642
12th Street,SW 12th St,Miami-Dade County,R,87.85241457
,,33130,,0.000941552
2nd Avenue,SW 2nd Ave,Miami-Dade County,L,-3.077455399
Walnut Street,Walnut St,Philadelphia County,L,-83.72892255
15th Street,S 15th St,Philadelphia County,L,10.95406264
Broad Street,S Broad St,Philadelphia County,L,11.65929265
Halstead Street,N Halsted St,Cook County,R,-1.591140272
Bay Road,Bay Rd,Miami-Dade County,R,-1.726987751
18th Street,18th St,Miami-Dade County,L,88.54364136
Dade Boulevard,Dade Blvd,Miami-Dade County,R,61.78264414
20th Street,20th St,Miami-Dade County,L,88.07481629
Worth Avenue,Worth Ave,Palm Beach County,R,-87.99044619
Wayman Street,W Wayman St,Cook County,R,-88.64680805
Aberdeen Street,N Aberdeen St,Cook County,R,-1.701354604
,N Canal St,Cook County,,-2.779166863
Carpenter Street,N Carpenter St,Cook County,R,-2.56377021
,N Green St,Cook County,,-2.511363269
Green Street,S Green St,Cook County,R,-1.332219858
,S Green St,Cook County,,-2.683775158
,N Carpenter St,Cook County,,-2.231174607
,S Peoria St,Cook County,,-1.789910609
Peoria Street,N Peoria St,Cook County,L,-2.511363267
Desplaines Street,N Desplaines St,Cook County,R,-3.814074835
May Street,N May St,Cook County,R,-2.04540849
1st Street,1st St,Miami-Dade County,L,88.93908831
Southwest 56th Avenue,SW 56th Ave,Miami-Dade County,L,-1.718358001
Southwest 74rd Street,SW 74th St,Miami-Dade County,R,88.60281898
Post Road East,Post Rd W,Fairfield County,R,88.23217294
Datura Street,Datura St,Palm Beach County,R,-85.53284093
Ada Street,N Ada St,Cook County,R,-2.202598162
Dearborn Street,N Dearborn Pkwy,Cook County,R,-1.539838288
Liberty Avenue,Liberty Ave,Miami-Dade County,R,22.83365418
Espanola Way,Espanola Way,Miami-Dade County,R,88.53119928
Walnut Street,W Walnut St,Cook County,R,88.60281897
Wilton Drive,Wilton Dr,Broward County,L,66.08768245
,,6830,,0.001094578
,,6880,,0.000740945
Roosevelt Road,E Roosevelt Rd,Cook County,L,89.19307055
,,60647,,0.001220369
Purdy Avenue,Purdy Ave,Miami-Dade County,R,-0.716159946
West Avenue,West Ave,Miami-Dade County,L,-1.446555686
Andrews Avenue,N Andrews Ave,Broward County,L,-3.46822926
6th Street,NE 6th St,Broward County,R,87.43622979
1st Avenue,NW 1st Ave,Broward County,R,-2.109942848
5th Street,NW 5th St,Broward County,R,88.22853026
Flagler Avenue,NW Flagler Ave,Broward County,R,1.573664054
4th Street,NW 4th St,Broward County,L,89.3259631
3rd Avenue,NE 3rd Ave,Broward County,L,-3.814074826
Flagler Drive,N Flagler Dr,Broward County,R,44.2747757
4th Avenue,NE 4th Ave,Broward County,L,-2.27760896
8th Street,NE 8th St,Broward County,R,88.17203176
North Federal Highway,N Federal Hwy,Broward County,L,-1.627283322
Flagler Drive`,N Flagler Dr,Broward County,R,44.07096068
1st Avenue,NE 1st Ave,Miami-Dade County,R,-3.94518623
Buena Vista Boulevard,Buena Vista Ave,Miami-Dade County,R,12.52880771
34th Street,NE 34th St,Miami-Dade County,L,88.00790643
2nd Avenue,NE 2nd Ave,Miami-Dade County,R,-3.366460654
2nd Court,NE 2nd Ct,Miami-Dade County,L,-2.121096397
29th Street,NE 29th St,Miami-Dade County,L,88.06941256
24th Street,NE 24th St,Miami-Dade County,R,88.04749095
Wilson Avenue,W Wilson Ave,Cook County,L,89.2097635
,,60640,,0.000561201
Clarendon Avenue,N Clarendon Ave,Cook County,R,-2.489552923
County Road,S County Rd,Palm Beach County,R,0.682060395
James Avenue,James Ave,Miami-Dade County,R,-2.070030652
16th Street,16th St,Miami-Dade County,L,88.51213247
Sunset Drive,Sunset Dr,Miami-Dade County,R,86.87786953
Southwest 57th Avenue,SW 57th Ave,Miami-Dade County,R,-1.218875232
Southwest 57th Court,SW 57th Ct,Miami-Dade County,L,-1.245364267
Southwest 58th Avenue,SW 58th Ave,Miami-Dade County,L,-4.085616768
Southwest 73rd Street,SW 73rd St,Miami-Dade County,L,0
Southwest 58th Court,SW 58th Ct,Miami-Dade County,R,-2.862405227
Southwest 59th Avenue,SW 59th Ave,Miami-Dade County,L,-1.259045208
Miracle Mile,Miracle Mile,Miami-Dade County,L,86.18592517
Ponce de Leon Boulevard,Ponce de Leon Blvd,Miami-Dade County,R,-1.808739325
,,33134,,0.000480937
Aragon Avenue,Aragon Ave,Miami-Dade County,L,85.26092768
Giralda Avenue,Giralda Ave,Miami-Dade County,L,85.57871058
Alhambrah Circle,Alhambra Cir,Miami-Dade County,L,86.03534527
Alhambra Circle,Alhambra Cir,Miami-Dade County,R,84.95754893
Salzedo Street,Salzedo St,Miami-Dade County,L,-2.260501914
11th Street,E 11th St,Cook County,R,89.63035494
Grand Avenue,Grand Ave,Miami-Dade County,L,88.05380488
Main Highway,Main Hwy,Miami-Dade County,R,31.82744658
Commodore Plaza,Commodore Plz,Miami-Dade County,R,-45.6740369
Chestnut Street,W Chestnut St,Cook County,L,88.88398961
Oak Street,W Oak St,Cook County,R,89.23610154
Delware Place,E Delaware Pl,Cook County,R,89.59075139
Financial Place,S Financial Pl,Cook County,L,0
29th Street,NW 29th St,Miami-Dade County,R,88.0136593
25th Street,NW 25th St,Miami-Dade County,R,88.06319961
,,33127,,0.001990904
23rd Street,NW 23rd St,Miami-Dade County,L,87.76882539
24th Street,NW 24th St,Miami-Dade County,L,88.02019348
1st Street,NW 21st St,Miami-Dade County,L,88.21008939
20th Street,NW 20th St,Miami-Dade County,R,88.21008939
26th Street,NW 26th St,Miami-Dade County,L,88.85423716
28th Street,NW 28th St,Miami-Dade County,R,87.65072135
3rd Avenue,NW 3rd Ave,Miami-Dade County,L,-3.179830121
27th Street,NW 27th St,Miami-Dade County,L,87.99546597
23th Street,NW 23rd St,Miami-Dade County,R,88.12919494
5th Avenue,NW 5th Ave,Miami-Dade County,L,-1.636577037
Harrison Street,W Harrison St,Cook County,R,89.60486296
Cermak Road,E Cermak Rd,Cook County,R,-89.19307055
18th Street,W 18th St,Cook County,L,89.39049342
13th Street,E 13th St,Cook County,R,89.3259631
Racine Avenue,N Racine Ave,Cook County,L,-1.456358633
Ogden Avenue,W Ogden Ave,Cook County,R,50.65948184
Laflin Street,S Laflin St,Cook County,R,-4.573921261
Ashland Avenue,S Ashland Ave,Cook County,L,-2.92072152
Atlantic Avenue,E Atlantic Ave,Palm Beach County,L,-89.4270613
Park Avenue,Park Ave N,Orange County,L,-0.622755686
Park Avenue,S Park Ave,Orange County,L,-8.212780189
Wilwaukee Avenue,N Milwaukee Ave,Cook County,L,-58.17255342
31st Street,31st St,Miami-Dade County,L,-70.55996517
Indian Creek Drive,Indian Creek Dr,Miami-Dade County,R,17.19854122
Hollywood Boulevard,Hollywood Blvd,Broward County,L,88.04749095
Harrison Street,Harrison St,Broward County,R,88.86557837
Biscayne Boulevard,S Biscayne Blvd,Miami-Dade County,L,-18.43494882
Diversey Parkway,W Diversey Ave,Cook County,R,88.89829389
,,60625,,0.000620322
Foster Avenue,W Foster Ave,Cook County,L,88.60281898
Kimball Avenue,N Kimball Ave,Cook County,L,0
,,60660,,0.000620322
Catalpa Avenue,W Catalpa Ave,Cook County,R,88.91907582
Cortland Street,W Cortland St,Cook County,L,88.59137127
1st Avenue,NW 1st Ave,Miami-Dade County,R,-1.776044251
Dixie Highway,S Dixie Hwy,Miami-Dade County,R,53.13010235
1st Place,NW 1st Pl,Miami-Dade County,L,-2.08256528
Wacker Place,E Wacker Pl,Cook County,R,0
Lawerence Avenue,W Lawrence Ave,Cook County,R,0
Randolph Avenue,W Randolph St,Cook County,,-86.63353934
Beaubien Court,N Beaubien Ct,Cook County,R,-1.909152432
Brickell Key Drive,Brickell Key Dr,Miami-Dade County,L,-24.53772847
Brickell Key Drive,Brickell Key Blvd,Miami-Dade County,R,-27.7585406
12th Street,SE 12th St,Miami-Dade County,R,-77.26035321
Brickell Bay Drive,Brickell Bay Dr,Miami-Dade County,R,13.44861505
12th Terrace,SE 12th Ter,Miami-Dade County,R,-78.11134196
13th Street,SE 13th St,Miami-Dade County,R,-78.04812487
14th Street,SE 14th St,Miami-Dade County,R,-76.8659777
15th Road,SE 15th Rd,Miami-Dade County,R,-58.66230968
8th Street,SW 8th St,Miami-Dade County,L,87.86574124
8th Street,SE 8th St,Miami-Dade County,L,88.64680805
SW 6th Street,SW 6th St,Miami-Dade County,L,0
Miami Avenue Road,SW Miami Ave Rd,Miami-Dade County,L,52.43140797
3rd Avenue,SW 3rd Ave,Miami-Dade County,L,-1.181188914
SW 9th Street,SW 9th St,Miami-Dade County,L,88.32516201
SW 10th Street,SW 10th St,Miami-Dade County,L,87.32144874
SW 11th Street,SW 11th St,Miami-Dade County,R,87.59402948
SW 5th Street,SW 5th St,Miami-Dade County,L,84.09385889
6th Avenue,NW 6th Ave,Miami-Dade County,R,-1.193489424
West 26th Street,NW 26th St,Miami-Dade County,R,87.96496554
27th Street Ter,NW 27th Ter,Miami-Dade County,L,88.01529689
,,60611,,0.000943398
Mary Street,Mary St,Miami-Dade County,R,-2.462816677
Florida Avenue,Florida Ave,Miami-Dade County,L,88.2986454
Virginia Street,Virginia St,Miami-Dade County,L,-1.245364267
McFarlane Road,McFarlane Rd,Miami-Dade County,R,-50.1944289
,,Miami-Dade County,,-3.447386851
Fuller Street,Fuller St,Miami-Dade County,R,-37.40535663
Front Street,Front St,Monroe County,L,-2.045408496
Caroline Street,Caroline St,Monroe County,L,61.46001481
Southard Street,Southard St,Monroe County,R,59.53445508
Whitehead Street,Whitehead St,Monroe County,L,-36.86989765
Eaton Street,Eaton St,Monroe County,R,57.39540683
,,33040,,0.001317649
Fleming Street,Fleming St,Monroe County,L,59.93141718
Elizabeth Street,Elizabeth St,Monroe County,R,-36.86989764
Greene Street,Greene St,Monroe County,R,57.05078488
Simonton Street,Simonton St,Monroe County,R,-38.10757687
Fitzpatrick Street,Fitzpatrick St,Monroe County,R,-37.23483398
Wall Street,Wall St,Monroe County,L,19.29004622
Applerouth Lane,Applerouth Ln,Monroe County,R,55.95406264
Ann Street,Ann St,Monroe County,L,-36.61675152
Southwest 71st Street,SW 71st St,Miami-Dade County,L,0
Miami Court,NW Miami Ct,Miami-Dade County,L,-1.748946045
22nd Street,NW 22nd St,Miami-Dade County,R,87.58897026
1st Court,NW 1st Ct,Miami-Dade County,R,-2.202598161
Ocean Court,Ocean Ct,Miami-Dade County,R,12.22512268
8th Street,8th St,Miami-Dade County,L,-79.79602628
NW 22nd Street,NW 22nd St,Miami-Dade County,R,87.73949809
20th Street,NE 20th St,Miami-Dade County,L,87.56335175
Miami Court,NE Miami Ct,Miami-Dade County,R,25.01689348
28th Street,NE 28th St,Miami-Dade County,R,88.41618843
27th Street,NE 27th St,Miami-Dade County,L,88.53119929
26th Street,NE 26th St,Miami-Dade County,R,88.29527168
NW 26th St,NW 26th St,Miami-Dade County,R,87.96496554
,NW 27th St,Miami-Dade County,,88.25549016
,NW 24th St,Miami-Dade County,,88.2686648
Commerce Street,Commerce St,Miami-Dade County,L,88.7635924
,E Flagler St,Miami-Dade County,,88.15238974
NW Miami Ct,NW Miami Ct,Miami-Dade County,R,-1.753404862
N Miami Ave,N Miami Ave,Miami-Dade County,L,-1.527525443
Brickell Ave,Brickell Ave,Miami-Dade County,R,13.85141901
,,33143,,0.00015
Atlantic Avenue,W Atlantic Ave,Palm Beach County,L,84.12260739
2nd Avenue,SE 2nd Ave,Palm Beach County,R,-1.123302714
2nd Avenue,NE 2nd Ave,Palm Beach County,R,-1.292166885
4th Avenue,NE 4th Ave,Palm Beach County,L,-1.273030019
5th Avenue,NE 5th Ave,Palm Beach County,L,-1.273030017
5th Avenue,SE 5th Ave,Palm Beach County,L,-1.123302718
7th Avenue,SE 7th Ave,Palm Beach County,R,-1.997879859
Venetian Drive,Venetian Dr,Palm Beach County,L,4.838898801
Ocean Boulevard,S Ocean Blvd,Palm Beach County,L,12.0305961
17th Street,17th St,Miami-Dade County,L,88.15238973
Merrick Way,Merrick Way,Miami-Dade County,R,-54.24611274
37th Avenue,SW 37th Ave,Miami-Dade County,R,-2.08256528
Andalusia Avenue,Andalusia Ave,Miami-Dade County,L,86.94341955
Valencia Avenue,Valencia Ave,Miami-Dade County,R,86.68221883
Almeria Avenue,Almeria Ave,Miami-Dade County,R,86.6499236
Sevilla Avenue,Sevilla Ave,Miami-Dade County,R,86.79051368
Tamarind Avenue,S Tamarind Ave,Palm Beach County,L,0
Olive Avenue,S Olive Ave,Palm Beach County,L,1.134421631
Olive Avenue,N Olive Ave,Palm Beach County,L,0
Narcissus Avenue,S Narcissus Ave,Palm Beach County,L,1.123302714
Clematis Street,N Clematis St,Palm Beach County,R,86.82016988
Flagler Drive,N Flagler Dr,Palm Beach County,R,-47.20259816
Clematis Street,S Clematis St,Palm Beach County,R,-59.94562392
Cocoanut Row,Cocoanut Row,Palm Beach County,R,1.380354074
Via Parigi,Via Parigi,Palm Beach County,R,1.380354074
Via Mizner,Via Mizner,Palm Beach County,R,28.61045968
Peruvian Avenue,Peruvian Ave,Palm Beach County,L,-88.31531568
Hibiscus Avenue,Hibiscus Ave,Palm Beach County,R,8.914926954
Andrews Avenue,S Andrews Ave,Broward County,L,-4.184916123
Las Olas Boulevard,W Las Olas Blvd,Broward County,R,88.80651058
1st Avenue,SE 1st Ave,Broward County,L,1.591140276
2nd Avenue,SE 2nd Ave,Broward County,R,-3.503531645
4th Street,SE 4th St,Broward County,R,88.75463573
7th Avenue,NE 7th Ave,Broward County,R,-28.39301942
9th Avenue,NE 9th Ave,Broward County,L,-0.493916897
11th Avenue,NE 11th Ave,Broward County,L,1.134421631
Bay Harbor Drive,E Bay Harbor Dr,Miami-Dade County,L,-18.26790621
Bay Harbor Drive,W Bay Harbor Dr,Miami-Dade County,L,-3.652222782
97th Street,97th St,Miami-Dade County,L,87.56335175
95th Street,95th St,Miami-Dade County,L,87.53188209
96th Street,96th St,Miami-Dade County,L,79.87532834
Abbott Avenue,Abbott Ave,Miami-Dade County,R,-5.278646064
Oak Avenue,Oak Ave,Miami-Dade County,R,87.75425743
Rice Street,Rice St,Miami-Dade County,L,-3.110840653
Federal Highway,N Federal Hwy,Miami-Dade County,R,14.82647997
NE 4th Court,NE 4th Ct,Miami-Dade County,L,1.353191953
NE 72nd Terrace,NE 72nd Ter,Miami-Dade County,L,68.58703053
,,33138,,0.00213115
NE 78th Street,NE 78th St,Miami-Dade County,L,85.47754585
NE 79th Street,NE 79th St,Miami-Dade County,R,88.77242117
NE 81st Street,NE 81st St,Miami-Dade County,R,88.56790382
Miami Avenue,S Miami Ave,Miami-Dade County,L,-1.789910603
Biscayne Boulevard Way,Biscayne Boulevard Way,Miami-Dade County,L,86.13453883
Chopin Plaza,Chopin Plz,Miami-Dade County,L,-86.13453883
2nd Street,SE 2nd St,Miami-Dade County,L,88.31531568
1st Avenue,SE 1st Ave,Miami-Dade County,L,-1.123302711
Flagler Street,E Flagler St,Miami-Dade County,L,88.21008939
NE 2nd Avenue,NE 2nd St,Miami-Dade County,L,87.61405597
NW 8th Street,NW 8th St,Miami-Dade County,L,89.41833694
NE 8th Street,NE 8th St,Miami-Dade County,R,88.09084757
NE 5th Street,NE 5th St,Miami-Dade County,L,87.58049078
NE 9th Street,NE 9th St,Miami-Dade County,R,88.98900295
NE 11th Street,NE 11th St,Miami-Dade County,R,86.63353933
NE 10th Street,NE 10th St,Miami-Dade County,R,87.96668433
Main Street,Main St,Morris County,R,-59.15341259
Front Street,E Front St,Monmouth County,L,75.01836743
Newark Avenue,Newark Ave,Hudson County,R,-62.35402464
George Street,George St,Middlesex County,L,-13.67130713
Washington Street,Washington St,Morris County,R,-53.13010236
South Street,South St,Morris County,,-52.69605172
Main Street,Main St,Essex County,L,-67.9887168
Main Street,S Main St,Essex County,L,-47.40597051
Ferry Street,Ferry St,Essex County,R,-49.18491613
JFK Boulevard,John F Kennedy Blvd,Hudson County,L,-85.28524548
Washington Street,Washington St,Hudson County,R,16.31385243
Newark Street,Newark St,Hudson County,R,-79.69515353
Broad Street,Broad St,Monmouth County,R,-4.398705355
Front Street,W Front St,Monmouth County,L,74.33183958
Central Avenue,Central Ave,Union County,L,-32.15229514
Quimby Street,Quimby St,Union County,L,52.22431569
East Broad Street,E Broad St,Union County,L,46.97493401
Palisade Avenue,W Palisade Ave,Bergen County,L,-60.37625125
Palisade Avenue,E Palisade Ave,Bergen County,R,-59.03624347
Bloomfield Avenue,Bloomfield Ave,Essex County,R,-52.39959466
Church Street,Church St,Essex County,L,-89.23097532
Valley Road,Valley Rd,Essex County,L,-3.731397
Market Street,Market St,Passaic County,R,-75.00492087
Elm Street,North Ave W,Union County,L,80.53767779
Elm Street,Elm St,Union County,L,-10.61965528
Broad Street,Broad St,Union County,R,-14.2645123
,Broad St,Monmouth County,,-4.398705355
South Park Street,S Park St,Essex County,R,16.47042844
Dean Street,S Dean St,Bergen County,R,31.12761437
South Park Place,S Park Pl,Morris County,R,61.84380855
West Park Place,W Park Pl,Morris County,L,-50.71059314
North Park Place,N Park Pl,Morris County,R,49.66685837
Broad Street,N Broad St,Bergen County,R,22.5205656
Ridgewood Avenue,E Ridgewood Ave,Bergen County,R,-86.49646836
Morris Turnpike,Morris Tpke,Essex County,R,-64.09349201
Morris Turnpike,Morris Tpke,Union County,L,-64.04123074
Nassau Street,Nassau St,Mercer County,,74.4274564
Palmer Square,Palmer Sq W,Mercer County,L,-37.07307332
Palmer Square,Palmer Sq E,Mercer County,L,-5.339236803
Witherspoon Street,Witherspoon St,Mercer County,L,-23.70264595
Franklin Avenue,Franklin Ave,Bergen County,R,-78.04341576
Chestnut Street,Chestnut St,Bergen County,L,19.89225705
Oak Street,Oak St,Bergen County,R,17.56501469
Essex Street,Essex St,Essex County,R,70.14478563
Millburn Avenue,Millburn Ave,Essex County,L,74.0546041
Springfield Avenue,Springfield Ave,Essex County,L,82.07307332
Main Avenue,Main Ave,Passaic County,L,-42.13759477
Lexington Avenue,Lexington Ave,Passaic County,R,-7.125016344
Main Street,Main St,Passaic County,L,7.386043151
Westwood Avenue,Westwood Ave,Bergen County,R,65.94265055
,,7675,,0.001263233
Washington Avenue,N Washington Ave,Bergen County,L,13.17255342
Washington Avenue,S Washington Ave,Bergen County,R,16.13727656
Market Street,Market St,Essex County,R,-74.1342922
Broad Street,Broad St,Essex County,,29.7448813
Springfield Avenue,Springfield Ave,Union County,R,83.08877289
Bergenline Avenue,Bergenline Ave,Hudson County,L,37.6656212
Palmer Square,Palmer Sq S,Mercer County,L,75.5297059
,,7093,,0.000442832
,Chestnut St,Bergen County,,19.89225705
Dean Street,N Dean St,Bergen County,R,31.3902681
Grand Avenue,Grand Ave,Bergen County,L,35.05942697
Hudson Street,Hudson St,Hudson County,L,15.25511871
River Street,River St,Hudson County,R,15.64224646
Sinatra Drive,Sinatra Dr,Hudson County,R,-30.25643716
North Avenue West,North Ave W,Union County,L,82.97160376
,Main St,Morris County,,-76.32869287
Maple Street,Maple St,Union County,L,18.43494882
Summit Avenue,Summit Ave,Union County,L,2.544804381
Union Place,Union Pl,Union County,L,-79.9920202
Monmouth Street,Monmouth St,Monmouth County,,84.65082257
,,7701,,0.000470744
,,NJ,Newark Avenue,Newark Ave
,,7940,,0.001720378
Bergen Avenue,Bergen Ave,Hudson County,L,47.25457497
Beechwood Road,Beechwood Rd,Union County,L,1.909152428
Broadway,Broadway,Hudson County,L,39.98688625
Broadway R,Broadway,Hudson County,,40.27986307
First Street,1st St,Hudson County,L,-80.02794231
Smith St,Smith St,Middlesex County,L,-75.06858282
Waverly Place,Waverly Pl,Morris County,R,51.17017509
,,7901,,0.00099985
Spring Street,Spring St,Mercer County,R,74.89890184
Tulane Street,S Tulane St,Mercer County,L,-20.48701419
Route 22,US-22,Somerset County,R,65.55604522
Dempsey Avenue,Dempsey Ave,Bergen County,R,-60.69779252
River Road,River Rd,Bergen County,R,33.02386755
River Road,Old River Rd,Bergen County,L,31.67546874
River Road,Old River Rd,Hudson County,L,18.43494881
Stelton Road,Stelton Rd,Middlesex County,R,-82.72300581
1st Street,1st St,Hudson County,L,-84.12260739
Christopher Columbus Drive,Christopher Columbus Dr,Hudson County,R,-73.07248694
Jersey Avenue,Jersey Ave,Hudson County,R,28.61045967
Grove Street,Grove St,Hudson County,L,28.9797077
,,7302,,0.000707107
Route 17,RT-17 N,Bergen County,R,9.462322207
Route 17,RT-17 S,Bergen County,L,-22.38013505
Hulfish Street,Hulfish St,Mercer County,,73.36904629
Montgomery Street,Montgomery St,Hudson County,L,-83.45370922
Erie Street,Erie St,Hudson County,R,8.880659149
